Player,Team,Age,Pos,G,MP,PTS,TRB,AST,STL,BLK,FGA,FTA,TOV,FG%,3P%,eFG%,FT%,W,L,PS/G,PA/G
Drake Powell,BKN,20.0,N/A,16,19.2,6.3,1.8,2.1,0.8,0.1,4.7,1.1,1.1,0.48,0.364,0.5744680851063829,0.944,5,11,109.4,117.2
Draymond Green,GSW,35.0,N/A,20,28.1,8.0,6.1,5.5,0.8,0.9,7.6,1.1,3.0,0.382,0.333,0.48684210526315796,0.619,10,10,113.5,111.7
Drew Eubanks,SAC,28.0,N/A,24,14.9,5.5,3.0,0.3,0.5,0.7,3.8,1.6,0.9,0.615,0.5,0.6052631578947368,0.526,6,18,111.4,122.0
Drew Peterson,CHA,26.0,N/A,4,13.3,1.3,1.8,0.5,0.8,0.3,3.5,0.5,0.0,0.143,0.0,0.14285714285714285,0.5,0,4,114.2,118.3
Drew Timme,LAL,25.0,N/A,2,3.9,1.0,1.0,1.5,0.5,0.0,1.0,0.0,0.0,0.5,0.0,0.5,0.0,1,1,118.3,116.1
Dru Smith,MIA,27.0,N/A,25,16.8,6.1,2.6,2.8,1.4,0.3,4.9,1.3,1.0,0.439,0.358,0.5306122448979592,0.788,14,11,121.7,118.2
Duncan Robinson,DET,31.0,N/A,22,31.8,12.4,3.0,2.0,1.0,0.3,9.4,1.6,0.7,0.437,0.402,0.5957446808510638,0.771,18,4,118.7,113.2
Duop Reath,POR,29.0,N/A,19,8.2,3.8,0.9,0.3,0.2,0.1,2.5,0.2,0.3,0.553,0.543,0.76,0.667,9,10,117.4,120.7
Dwight Powell,DAL,34.0,N/A,20,10.9,2.4,2.1,0.9,0.5,0.2,1.0,1.5,0.5,0.65,0.0,0.7,0.724,7,13,111.8,116.1
Dylan Cardwell,SAC,23.0,N/A,3,10.8,1.7,1.7,0.0,0.7,1.0,2.0,0.7,0.7,0.333,0.0,0.35,0.5,1,2,111.4,122.0
Dylan Harper,SAS,19.0,N/A,13,21.8,13.5,3.1,3.9,0.9,0.0,10.8,3.4,1.5,0.479,0.281,0.5138888888888888,0.727,10,3,119.6,115.3
Dyson Daniels,ATL,22.0,N/A,25,33.9,10.7,6.2,5.8,2.2,0.3,10.1,1.5,2.3,0.472,0.146,0.48514851485148514,0.632,14,11,118.0,116.4
E.J. Liddell,BKN,24.0,N/A,7,4.6,2.0,1.3,0.0,0.0,0.0,1.7,0.4,0.0,0.417,0.25,0.5,0.667,1,6,109.4,117.2
Egor Dëmin,BKN,19.0,N/A,21,23.0,8.3,3.3,3.7,0.8,0.3,7.8,0.7,1.7,0.38,0.351,0.5064102564102565,0.857,6,15,109.4,117.2
Elijah Harkless,UTA,25.0,N/A,7,9.4,2.4,0.9,0.7,0.6,0.0,1.6,1.3,0.4,0.364,0.286,0.46875,0.778,2,5,117.6,125.8
